Sequence,Mean Δt (frames),#Matching Points,Δt Values
FaceTalk_170731_00024_TA_sentence21_condition_FaceTalk_170725_00137_TA.npy,2.75,8,2;1;2;4;3;3;2;5
FaceTalk_170731_00024_TA_sentence21_condition_FaceTalk_170728_03272_TA.npy,2.80,10,3;1;1;7;4;3;2;2;1;4
FaceTalk_170731_00024_TA_sentence21_condition_FaceTalk_170811_03274_TA.npy,3.00,7,2;1;2;7;3;1;5
FaceTalk_170731_00024_TA_sentence21_condition_FaceTalk_170904_00128_TA.npy,3.20,10,2;1;2;7;4;4;3;3;1;5
FaceTalk_170731_00024_TA_sentence21_condition_FaceTalk_170904_03276_TA.npy,3.30,10,3;1;7;4;3;4;3;2;1;5
FaceTalk_170731_00024_TA_sentence21_condition_FaceTalk_170912_03278_TA.npy,2.75,8,3;1;1;7;2;3;1;4
FaceTalk_170731_00024_TA_sentence21_condition_FaceTalk_170913_03279_TA.npy,3.00,9,3;1;1;7;6;2;2;1;4
FaceTalk_170731_00024_TA_sentence21_condition_FaceTalk_170915_00223_TA.npy,3.00,7,2;1;2;7;3;1;5
FaceTalk_170731_00024_TA_sentence22_condition_FaceTalk_170725_00137_TA.npy,4.86,7,4;4;13;5;5;3;0
FaceTalk_170731_00024_TA_sentence22_condition_FaceTalk_170728_03272_TA.npy,3.50,6,5;4;4;5;3;0
FaceTalk_170731_00024_TA_sentence22_condition_FaceTalk_170811_03274_TA.npy,3.80,10,4;4;4;7;3;5;6;3;0;2
FaceTalk_170731_00024_TA_sentence22_condition_FaceTalk_170904_00128_TA.npy,4.56,9,4;4;4;13;5;5;3;1;2
FaceTalk_170731_00024_TA_sentence22_condition_FaceTalk_170904_03276_TA.npy,3.20,5,4;4;5;3;0
FaceTalk_170731_00024_TA_sentence22_condition_FaceTalk_170912_03278_TA.npy,3.14,7,4;4;4;3;5;2;0
FaceTalk_170731_00024_TA_sentence22_condition_FaceTalk_170913_03279_TA.npy,3.33,6,4;4;4;5;3;0
FaceTalk_170731_00024_TA_sentence22_condition_FaceTalk_170915_00223_TA.npy,2.75,8,4;4;4;5;2;1;0;2
FaceTalk_170731_00024_TA_sentence23_condition_FaceTalk_170725_00137_TA.npy,5.11,9,4;2;2;12;5;6;7;6;2
FaceTalk_170731_00024_TA_sentence23_condition_FaceTalk_170728_03272_TA.npy,5.30,10,4;2;2;12;5;6;0;7;7;8
FaceTalk_170731_00024_TA_sentence23_condition_FaceTalk_170811_03274_TA.npy,4.71,7,2;5;5;6;0;7;8
FaceTalk_170731_00024_TA_sentence23_condition_FaceTalk_170904_00128_TA.npy,4.88,8,2;11;5;6;0;7;6;2
FaceTalk_170731_00024_TA_sentence23_condition_FaceTalk_170904_03276_TA.npy,4.56,9,4;2;2;5;6;0;7;7;8
FaceTalk_170731_00024_TA_sentence23_condition_FaceTalk_170912_03278_TA.npy,2.67,3,4;2;2
FaceTalk_170731_00024_TA_sentence23_condition_FaceTalk_170913_03279_TA.npy,4.88,8,4;2;5;6;0;7;7;8
FaceTalk_170731_00024_TA_sentence23_condition_FaceTalk_170915_00223_TA.npy,3.75,4,3;2;5;5
FaceTalk_170731_00024_TA_sentence24_condition_FaceTalk_170725_00137_TA.npy,3.17,6,2;1;4;4;1;7
FaceTalk_170731_00024_TA_sentence24_condition_FaceTalk_170728_03272_TA.npy,3.43,7,2;6;1;4;3;1;7
FaceTalk_170731_00024_TA_sentence24_condition_FaceTalk_170811_03274_TA.npy,2.57,7,2;6;1;4;4;0;1
FaceTalk_170731_00024_TA_sentence24_condition_FaceTalk_170904_00128_TA.npy,2.71,7,2;6;1;4;4;0;2
FaceTalk_170731_00024_TA_sentence24_condition_FaceTalk_170904_03276_TA.npy,3.43,7,2;6;1;4;3;1;7
FaceTalk_170731_00024_TA_sentence24_condition_FaceTalk_170912_03278_TA.npy,3.71,7,2;6;1;4;3;2;8
FaceTalk_170731_00024_TA_sentence24_condition_FaceTalk_170913_03279_TA.npy,3.12,8,2;6;1;4;3;1;1;7
FaceTalk_170731_00024_TA_sentence24_condition_FaceTalk_170915_00223_TA.npy,2.86,7,2;1;4;4;0;2;7
FaceTalk_170731_00024_TA_sentence25_condition_FaceTalk_170725_00137_TA.npy,2.71,7,2;0;1;5;5;1;5
FaceTalk_170731_00024_TA_sentence25_condition_FaceTalk_170728_03272_TA.npy,2.73,11,1;3;4;4;2;0;1;5;5;1;4
FaceTalk_170731_00024_TA_sentence25_condition_FaceTalk_170811_03274_TA.npy,2.83,12,1;2;4;4;4;2;1;1;5;5;4;1
FaceTalk_170731_00024_TA_sentence25_condition_FaceTalk_170904_00128_TA.npy,2.57,7,2;1;1;5;1;3;5
FaceTalk_170731_00024_TA_sentence25_condition_FaceTalk_170904_03276_TA.npy,2.57,7,2;0;1;5;5;1;4
FaceTalk_170731_00024_TA_sentence25_condition_FaceTalk_170912_03278_TA.npy,3.29,7,4;4;4;0;1;5;5
FaceTalk_170731_00024_TA_sentence25_condition_FaceTalk_170913_03279_TA.npy,3.11,9,1;3;4;4;2;0;5;5;4
FaceTalk_170731_00024_TA_sentence25_condition_FaceTalk_170915_00223_TA.npy,3.08,12,1;4;4;4;2;1;1;6;5;1;3;5
FaceTalk_170731_00024_TA_sentence26_condition_FaceTalk_170725_00137_TA.npy,4.25,4,1;2;8;6
FaceTalk_170731_00024_TA_sentence26_condition_FaceTalk_170728_03272_TA.npy,3.50,4,2;2;5;5
FaceTalk_170731_00024_TA_sentence26_condition_FaceTalk_170811_03274_TA.npy,2.33,3,1;2;4
FaceTalk_170731_00024_TA_sentence26_condition_FaceTalk_170904_00128_TA.npy,4.00,6,1;2;4;2;5;10
FaceTalk_170731_00024_TA_sentence26_condition_FaceTalk_170904_03276_TA.npy,3.00,3,2;2;5
FaceTalk_170731_00024_TA_sentence26_condition_FaceTalk_170912_03278_TA.npy,2.00,1,2
FaceTalk_170731_00024_TA_sentence26_condition_FaceTalk_170913_03279_TA.npy,3.00,3,2;2;5
FaceTalk_170731_00024_TA_sentence26_condition_FaceTalk_170915_00223_TA.npy,4.50,4,1;2;5;10
FaceTalk_170731_00024_TA_sentence27_condition_FaceTalk_170725_00137_TA.npy,No matching points,0,[]
FaceTalk_170731_00024_TA_sentence27_condition_FaceTalk_170728_03272_TA.npy,7.00,1,7
FaceTalk_170731_00024_TA_sentence27_condition_FaceTalk_170811_03274_TA.npy,7.00,1,7
FaceTalk_170731_00024_TA_sentence27_condition_FaceTalk_170904_00128_TA.npy,7.00,1,7
FaceTalk_170731_00024_TA_sentence27_condition_FaceTalk_170904_03276_TA.npy,3.50,2,3;4
FaceTalk_170731_00024_TA_sentence27_condition_FaceTalk_170912_03278_TA.npy,7.00,1,7
FaceTalk_170731_00024_TA_sentence27_condition_FaceTalk_170913_03279_TA.npy,4.67,3,2;4;8
FaceTalk_170731_00024_TA_sentence27_condition_FaceTalk_170915_00223_TA.npy,7.00,1,7
FaceTalk_170731_00024_TA_sentence28_condition_FaceTalk_170725_00137_TA.npy,4.33,6,5;8;3;8;0;2
FaceTalk_170731_00024_TA_sentence28_condition_FaceTalk_170728_03272_TA.npy,3.83,6,5;5;8;3;0;2
FaceTalk_170731_00024_TA_sentence28_condition_FaceTalk_170811_03274_TA.npy,4.43,7,5;5;8;3;8;0;2
